material_id,material_name,strength_rating,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_score,cost_per_kg
1,Paperboard,7,5,85,90,1.2,45
2,Corrugated Cardboard,9,15,70,80,1.6,55
3,Bagasse (Sugarcane Fiber),6,4,95,100,0.4,50
4,Cornstarch Polymer,5,3,98,100,0.6,60
5,PLA Bioplastic,8,8,80,90,1.8,75
6,Recycled PET Plastic,9,12,40,95,2.5,65
7,Mushroom Packaging,4,2,99,100,0.2,70
8,Bamboo Pulp Packaging,8,10,90,100,0.9,90
9,Aluminum Foil,10,20,5,100,10.0,150
10,Glass Jar (Reusable),10,25,10,100,4.0,120
11,Kraft Paper,6,6,92,95,1.0,55
12,Palm Leaf Packaging,7,5,94,100,0.5,65
13,Seaweed-Based Film,4,2,98,100,0.3,80
14,Recycled Cardboard,8,10,60,95,1.1,50
15,HDPE Food-Grade Plastic (recycled),9,18,20,80,3.2,85
16,PLA-Coated Paper,6,7,75,85,2.0,70
17,Recycled Aluminum,10,18,8,100,5.0,140
18,Compostable Cassava Starch,5,3,96,100,0.7,65
19,Hemp Fiber Pulp,7,6,93,100,0.4,75
20,Wheat Straw Board,6,4,91,100,0.6,70
21,Sisal Fiber Wrap,6,3,92,100,0.5,68
22,Cellulose Film (PLA-free),5,3,97,100,0.8,78
23,Rice Husk Composite,7,8,89,95,0.9,72
24,Recycled Glass,10,30,12,100,3.8,110
25,Algae-Derived Film,4,2,99,100,0.25,85
26,Paper-Laminated Compostable,6,6,88,90,1.3,60
27,Natural Jute Sack,8,35,90,100,0.6,40
28,Beeswax Coated Paper,6,5,85,95,1.1,95
29,PLA+PHA Blend,7,9,82,90,1.9,95
30,Recycled Kraft Paper,7,7,86,95,1.0,48
31,Compostable PLA Film (thin),5,2,90,85,1.7,68
32,Cardboard with Starch Seal,8,12,84,92,1.1,58
33,Bio-Paper Composite,7,9,88,95,1.0,66
34,Cassava Fiber Pulp,5,3,96,100,0.65,62
35,Hemp-Paper Blend,8,10,92,98,0.5,78
36,Natural Cork Insert,6,4,94,100,0.4,85
37,Recycled PET (food-safe),9,14,35,94,2.6,62
38,PLA Molded Tray,6,7,83,90,1.85,72
39,Bamboo Fiber Tray,8,11,91,100,0.85,88
40,Compostable Foam (starch-based),4,6,97,100,0.7,76
41,Wheat Bran Pulp,5,3,93,100,0.6,58
42,Recycled Paper Pulp,7,6,80,95,1.05,46
43,Seaweed Pulp Board,4,4,98,100,0.3,82
44,Cellulose-Based Window Film,5,1,95,100,0.6,64
45,PLA-Coated Food Box,6,8,78,88,2.05,74
46,Compostable Adhesive (natural),6,0,99,100,0.2,12
47,Natural Fiber Mesh (jute/hemp),7,5,92,100,0.45,52
48,Biochar-Infused Paper,7,8,87,95,0.9,68
49,Recycled Aluminum Tray (lightweight),10,22,7,100,5.5,135
50,Glass (lightweight reusable),10,28,11,100,3.9,115
51,PLA-Starch Hybrid Film,6,4,88,92,1.4,69
52,Cornstarch-Based Bag,5,2,98,100,0.55,59
53,Bio-Glass Composite,9,20,20,98,2.9,125
54,Compostable Paper Envelope,6,1,95,98,0.9,16
55,Natural Fiber Tape,6,0.2,94,100,0.2,8
56,Recycled HDPE (blended),9,16,28,85,3.0,82
57,PLA-Fiber Cushioning,5,3,86,90,1.6,71
58,Bamboo-Coated Paper,8,9,89,96,0.95,80
59,Mycelium Insulation Block,4,4,99,100,0.18,92
60,Compostable Paper Straw,2,0.1,97,100,0.15,6
61,Recycled Textile Padding,7,3,70,95,1.2,54
62,Organic Cotton Pouch,6,2,92,100,0.5,34
63,PLA-Coated Kraft Sleeve,6,4,80,88,1.95,48
64,Palmoil-Free Palm Leaf Tray,7,5,94,100,0.5,67
65,Starch-Bound Board,7,10,90,98,0.75,59
66,Wheat Straw Film,5,2,96,100,0.55,66
67,Cassava-Laminated Paper,6,6,92,98,0.8,63
68,Seaweed-Coated Paper,5,3,97,100,0.35,79
69,Recycled Paper Insulation,6,5,82,94,1.15,44
70,Hemp Fiber Crate,9,40,91,100,0.6,98
71,Bio-Polymer Mesh,6,3,87,90,1.4,73
72,Plant-Fiber Sleeve (flax),7,5,90,100,0.5,72
73,Chitosan Coated Film,5,2,95,100,0.65,88
74,Compostable Laminated Pulp,6,8,89,95,1.0,70
75,Bamboo Toothpick Divider,3,0.05,98,100,0.05,2
76,Recycled Paper Tray Insert,6,2,84,95,1.05,30
77,PLA Reinforced Paperboard,7,12,82,90,1.9,85
78,Pressed Palm Leaf Box,7,6,94,100,0.45,69
79,Starch-Foam Cushion,3,5,97,100,0.6,60
80,Hemp-Seaweed Composite,7,7,96,100,0.4,95
